1	30	44	
1	32	43	
1	33	46	
1	34	47	
1	35	48	
1	37	44	
1	51	10	
1	53	11	
1	88	43	
2	27	43	
2	28	47	
2	29	47	
2	30	48	
2	31	51	
2	33	39	
2	34	51	
2	36	40	
2	37	49	
2	38	48	
2	39	46	
2	40	46	
2	47	11	
2	49	8	
2	50	8	
2	51	14	
2	53	7	
2	54	13	
2	55	13	
2	56	14	
2	84	45	
2	86	39	
2	87	39	
2	88	47	
2	90	41	
2	91	43	
2	92	44	
3	6	7	
3	8	8	
3	9	12	
3	11	12	
3	26	45	
3	27	49	
3	29	50	
3	31	52	
3	34	36	
3	37	36	
3	39	50	
3	41	39	
3	42	43	
3	43	45	
3	47	7	
3	49	6	
3	53	4	
3	56	15	
3	58	10	
3	83	41	
3	84	48	
3	88	37	
3	90	50	
3	93	48	
3	95	43	
4	5	11	
4	7	13	
4	9	15	
4	11	6	
4	11	20	
4	12	15	
4	13	8	
4	13	18	
4	14	13	
4	14	23	
4	15	21	
4	16	20	
4	17	20	
4	18	21	
4	19	24	
4	25	39	
4	26	50	
4	29	35	
4	32	54	
4	36	54	
4	40	36	
4	42	51	
4	44	41	
4	45	9	
4	47	16	
4	52	4	
4	57	5	
4	59	13	
4	83	39	
4	87	51	
4	92	50	
4	95	47	
5	5	12	
5	8	4	
5	9	20	
5	10	24	
5	12	25	
5	14	26	
5	16	11	
5	17	16	
5	19	15	
5	20	19	
5	21	20	
5	22	23	
5	24	39	
5	26	52	
5	31	33	
5	35	55	
5	40	35	
5	44	7	
5	44	40	
5	45	45	
5	49	3	
5	54	3	
5	59	6	
5	81	41	
5	82	49	
5	87	51	
5	92	51	
5	96	43	
6	4	7	
6	6	17	
6	8	21	
6	10	4	
6	13	6	
6	16	10	
6	18	30	
6	21	16	
6	22	27	
6	23	19	
6	23	49	
6	24	52	
6	29	33	
6	34	32	
6	39	33	
6	43	9	
6	44	14	
6	45	50	
6	46	47	
6	51	3	
6	56	3	
6	60	7	
6	70	24	
6	71	26	
6	72	26	
6	73	26	
6	74	25	
6	75	23	
6	76	22	
6	77	21	
6	78	21	
6	79	22	
6	80	25	
6	81	47	
6	86	36	
6	91	36	
6	95	49	
7	3	7	
7	4	15	
7	6	23	
7	8	28	
7	12	30	
7	17	9	
7	20	12	
7	21	44	
7	22	39	
7	23	29	
7	24	26	
7	25	23	
7	27	55	
7	32	7	
7	33	57	
7	35	10	
7	38	56	
7	42	11	
7	44	5	
7	45	51	
7	47	18	
7	48	19	
7	53	20	
7	58	17	
7	61	11	
7	68	19	
7	68	29	
7	69	27	
7	70	29	
7	72	17	
7	73	31	
7	75	17	
7	76	32	
7	78	18	
7	79	29	
7	80	29	
7	80	46	
7	81	27	
7	82	19	
7	82	29	
7	83	24	
7	85	52	
7	90	52	
7	95	49	
7	97	46	
8	4	6	
8	5	23	
8	8	29	
8	12	32	
8	17	32	
8	21	32	
8	21	49	
8	23	14	
8	24	14	
8	25	15	
8	25	33	
8	26	25	
8	29	57	
8	31	11	
8	33	11	
8	35	11	
8	36	57	
8	38	7	
8	39	11	
8	41	9	
8	42	55	
8	44	54	
8	46	51	
8	48	3	
8	50	20	
8	55	19	
8	60	6	
8	61	15	
8	66	18	
8	66	28	
8	67	31	
8	69	31	
8	71	32	
8	73	34	
8	75	35	
8	77	34	
8	79	33	
8	80	34	
8	80	44	
8	81	35	
8	82	33	
8	83	31	
8	84	23	
8	84	33	
8	85	26	
8	86	33	
8	90	52	
8	95	50	
8	97	46	
9	3	15	
9	4	23	
9	7	29	
9	11	33	
9	16	33	
9	20	34	
9	21	11	
9	21	51	
9	24	55	
9	26	30	
9	27	23	
9	28	57	
9	30	30	
9	32	57	
9	34	57	
9	36	57	
9	38	30	
9	40	12	
9	42	6	
9	44	33	
9	46	36	
9	48	20	
9	48	49	
9	53	20	
9	58	18	
9	61	16	
9	63	17	
9	63	27	
9	64	25	
9	65	19	
9	66	33	
9	68	34	
9	71	13	
9	73	36	
9	77	12	
9	79	13	
9	80	46	
9	83	14	
9	85	52	
9	86	27	
9	87	23	
9	87	33	
9	92	36	
9	96	49	
10	3	8	
10	3	18	
10	4	26	
10	8	32	
10	13	34	
10	18	34	
10	20	38	
10	20	50	
10	25	12	
10	28	11	
10	28	21	
10	29	7	
10	29	57	
10	31	58	
10	34	4	
10	36	30	
10	38	57	
10	40	57	
10	43	17	
10	45	34	
10	47	38	
10	48	50	
10	50	20	
10	55	20	
10	60	6	
10	61	22	
10	62	23	
10	63	15	
10	64	33	
10	67	13	
10	70	36	
10	74	10	
10	76	39	
10	79	42	
10	81	49	
10	85	15	
10	87	52	
10	88	27	
10	89	25	
10	93	36	
10	97	41	
11	3	11	
11	3	21	
11	5	5	
11	9	33	
11	14	35	
11	19	36	
11	19	48	
11	22	10	
11	27	10	
11	29	16	
11	29	27	
11	31	15	
11	33	29	
11	36	4	
11	38	29	
11	41	5	
11	43	31	
11	46	3	
11	47	53	
11	49	40	
11	50	2	
11	55	2	
11	59	20	
11	61	7	
11	62	31	
11	65	11	
11	68	37	
11	72	10	
11	76	9	
11	80	44	
11	83	11	
11	87	14	
11	89	21	
11	90	22	
11	90	52	
11	95	50	
11	97	46	
12	3	10	
12	3	26	
12	7	5	
12	12	5	
12	17	7	
12	19	43	
12	20	52	
12	25	57	
12	29	21	
12	30	19	
12	32	17	
12	34	58	
12	37	17	
12	39	58	
12	42	18	
12	44	56	
12	47	3	
12	48	51	
12	49	45	
12	52	2	
12	57	3	
12	59	26	
12	61	8	
12	64	10	
12	68	9	
12	71	39	
12	76	8	
12	80	45	
12	84	11	
12	88	52	
12	91	20	
12	91	32	
12	95	38	
12	97	45	
13	2	21	
13	3	26	
13	6	32	
13	11	35	
13	16	36	
13	19	42	
13	20	52	
13	25	9	
13	29	58	
13	30	58	
13	33	18	
13	35	58	
13	38	18	
13	40	58	
13	43	19	
13	45	22	
13	46	30	
13	47	34	
13	48	51	
13	49	49	
13	51	2	
13	56	3	
13	58	26	
13	61	7	
13	65	38	
13	70	40	
13	75	42	
13	80	45	
13	84	51	
13	88	52	
13	91	29	
13	92	25	
13	94	38	
13	97	44	
14	2	21	
14	3	13	
14	6	33	
14	11	35	
14	16	37	
14	18	44	
14	20	52	
14	25	9	
14	29	58	
14	31	20	
14	33	58	
14	36	18	
14	38	58	
14	41	19	
14	43	21	
14	44	22	
14	45	24	
14	46	29	
14	47	54	
14	48	36	
14	49	38	
14	50	26	
14	51	2	
14	54	23	
14	56	27	
14	59	5	
14	62	36	
14	66	40	
14	71	41	
14	76	43	
14	81	46	
14	86	9	
14	90	13	
14	92	28	
14	93	22	
14	94	50	
14	96	46	
15	2	22	
15	3	29	
15	7	34	
15	12	36	
15	17	38	
15	18	47	
15	21	54	
15	26	57	
15	30	24	
15	32	20	
15	34	58	
15	37	19	
15	39	58	
15	42	3	
15	44	4	
15	48	31	
15	49	36	
15	50	40	
15	51	26	
15	53	26	
15	56	3	
15	59	34	
15	64	8	
15	69	6	
15	74	5	
15	79	6	
15	84	7	
15	89	11	
15	93	17	
15	93	31	
15	94	24	
15	96	43	
16	2	21	
16	3	13	
16	6	7	
16	11	6	
16	16	7	
16	18	44	
16	20	52	
16	25	8	
16	30	3	
16	31	58	
16	34	19	
16	36	58	
16	39	20	
16	41	22	
16	45	4	
16	48	53	
16	49	51	
16	50	47	
16	53	28	
16	56	31	
16	60	37	
16	65	41	
16	70	43	
16	75	43	
16	80	45	
16	85	49	
16	90	50	
16	93	31	
16	94	20	
16	94	38	
16	95	46	
17	2	20	
17	4	10	
17	8	7	
17	13	6	
17	18	7	
17	18	48	
17	22	8	
17	27	6	
17	31	3	
17	32	58	
17	35	20	
17	37	58	
17	40	22	
17	43	57	
17	48	52	
17	49	39	
17	50	45	
17	53	30	
17	57	34	
17	62	7	
17	67	6	
17	72	4	
17	77	4	
17	82	5	
17	87	8	
17	91	49	
17	94	16	
17	94	38	
17	95	20	
18	1	22	
18	2	27	
18	5	10	
18	10	7	
18	15	7	
18	18	42	
18	19	51	
18	24	8	
18	29	4	
18	31	27	
